country,isocode,period,pop_growth,pop_growth_instr,growth_rate,ki_instr,openk_instr,kg_instr,enrollment_instr,pop,rgdpch,rgdpwok,gr_rgdpwok,kc,kg,ki,openk,life_expectancy,fertility,inflation,enrollment,near_coast,tropical,colony_esp_prt,yr_sch,avexpr,ethnic,language,religion,legal_origin,catholic,orthodox,protestant,hindu,jewish,muslim,eastern,non-religious,other,catholic_1900,protestant_1900,orthodox_1900,muslim_1900,jewish_1900,hindu_1900,eastern_1900,non-religious_1900,other_1900,formalism,ssa,east_asia,latam,period_1,period_2,period_3,french_origin,british_origin,initial_gdp,initial_gdp_instr,initial_hc,initial_hc_instr,cum_inflation,mortality
Sweden,SWE,1975-1984,2.4707738781247617,2.439222931001987,0.0018839323703240991,2.9881368924545275,39.123570568333335,8.001129154000001,NA,8286.3892,22008.585211,42595.776923,0.0018839323703240991,76.462981405,9.0047065008,2.83697339982529,43.013677761,74.6492682926829,0.6523251860396901,9.999266523717514,4.4202634698686545,21.2438,0,0,9.32,9.5,0.05999364976527296,0.19675600000000004,0.2341923,4,0.007340705970400994,0.00392391247208728,0.7470395637506225,0,0.0018685297486129905,3.0519319227345507e-4,3.737059497225981e-5,0.24861971707469957,9.03122711829612e-4,4.34190031152648e-4,0.9879614485981308,1.9470404984423677e-5,0,7.78816199376947e-4,0,0,0.010708722741433021,0,2.8952383995056152,0,0,0,1,0,0,0,0,10.66922063507775,10.60196197834405,9.02,7.96,1.5898153123128016,0.01339597859257275
Sweden,SWE,1985-1994,2.752779792820322,2.340539349456948,0.014790236740904919,2.8113811131072572,45.76196362,9.376419299666667,84.65126927693683,8574.5995,25213.269627,48333.255774,0.014790236740904919,74.567345888,9.1904735499,2.8676148750077006,52.271092756,75.7409756097561,0.5187937934151675,5.713708979055139,4.581692927618845,21.2438,0,0,10.295,9.5,0.05999364976527296,0.19675600000000004,0.2341923,4,0.010401692581555112,0.013906020533682789,0.6466891139281079,0.00100084048732032,0.0018140684412708895,0.04040624059848151,0.004832830455945265,0.27469925128809203,0.0032698703930905968,4.34190031152648e-4,0.9879614485981308,1.9470404984423677e-5,0,7.78816199376947e-4,0,0,0.010708722741433021,0,2.923809766769409,0,0,0,0,1,0,0,0,10.702121952526637,10.660845089299672,10.05,9.62,0.7377870636574217,0.013202893043685474
Sweden,SWE,1995-2004,2.417898404185404,2.5401874623640563,0.027243584806239604,2.8309452924018315,56.35570052833334,9.417343223833333,109.94879913330077,8925.458200000001,29066.675314,58345.013351,0.027243584806239604,70.263396447,8.1918948414,2.8558278373595702,77.846047752,77.5368292682927,0.7561219797213337,1.1604633290212305,4.943173483039864,21.2438,0,0,11.184999999999999,9.5,0.05999364976527296,0.19675600000000004,0.2341923,4,0.01074180220501668,0.015015143651637846,0.6355390639478284,0.0011120449859114666,0.001808017184899545,0.04486191253250463,0.00536565932938671,0.27759697731180233,0.003532842357675151,4.34190031152648e-4,0.9879614485981308,1.9470404984423677e-5,0,7.78816199376947e-4,0,0,0.010708722741433021,0,2.909910202026367,0,0,0,0,0,1,0,0,10.851149567581476,10.805232677321452,10.95,10.54,0.12182305917340108,0.012897096894945278
Switzerland,CHE,1975-1984,2.4824492459190854,2.571055555422401,-0.0035154286904699275,3.271230974221501,43.525395745,3.9743950706666666,NA,6404.6207,29845.564672,59802.013817,-0.0035154286904699275,62.498736402,4.5068746758,3.165782658334767,49.993556708,73.020243902439,0.7419373447293773,3.643366715037429,NA,0,0,0,10.66,10,0.5314,0.544095,0.6083014,NA,0.4627901547702422,0.0033973837233287176,0.455432392306576,3.23560354602735e-4,0.0033488496701383074,0.002653194907742427,3.23560354602735e-4,0.010806915843731349,8.250789042369743e-4,0.398763197586727,0.5626244343891402,3.0165912518853697e-4,1.2066365007541478e-4,0.00392156862745098,0,0,0.002021116138763198,9.049773755656108e-5,NA,0,0,0,1,0,0,NA,NA,10.976807662806037,10.966596283553672,10.34,9.76,0.42769661291696104,0.013694832371911568
Switzerland,CHE,1985-1994,2.911856493215134,2.506532023671254,-0.005379521420814901,3.2507748828844445,52.057272213333334,4.637745672,94.23562240600586,6821.0045,32774.55735,57629.708455,-0.005379521420814901,62.657075002,5.0047668584,3.3169055382592916,60.56168045,75.4592682926829,0.4382549309311553,3.0099094200158802,4.592485227876772,0,0,0,10.28,10,0.5314,0.544095,0.6083014,NA,0.437119037816022,0.01095368626666234,0.3610544317730747,0.0028170449387399593,0.002493137913696669,0.04054255753629851,0.003230074127166287,0.10296105764652884,9.220999906835255e-4,0.398763197586727,0.5626244343891402,3.0165912518853697e-4,1.2066365007541478e-4,0.00392156862745098,0,0,0.002021116138763198,9.049773755656108e-5,NA,0,0,0,0,1,0,NA,NA,10.995867591014656,10.998925719004047,10.37,10.98,0.34339546874766214,0.01325218256982446
Switzerland,CHE,1995-2004,2.646491502302487,2.6436844013260328,0.009272887322655353,3.3214168606054444,62.53943382,5.071778072333333,100.35906982421872,7277.1795,34830.167101,59054.858086,0.009272887322655353,63.129523953,4.5845711862,3.297845142806579,77.68110152,77.2424390243902,0.4574248470388755,0.8587512769848014,NA,0,0,0,10.215,10,0.5314,0.544095,0.6083014,NA,0.4342666914877753,0.011793275438143853,0.3505679917137968,0.0030940987814218734,0.0023980588296475982,0.04475248671724919,0.0035530201018955706,0.11320040673572856,9.32880111399809e-4,0.398763197586727,0.5626244343891402,3.0165912518853697e-4,1.2066365007541478e-4,0.00392156862745098,0,0,0.002021116138763198,9.049773755656108e-5,NA,0,0,0,0,0,1,NA,NA,10.93871225997005,11.004194832676319,10.14,10.19,0.08914694319604521,0.012946250955180719
Syria,SYR,1975-1984,3.835069643904794,3.196677493925954,0.027037312388997526,2.6627932341837717,74.90549895,10.618904695,NA,8665.6126,2848.4774217,11874.519125,0.027037312388997526,83.933566519,12.267940575,3.089142940789698,62.244022571,60.527,2.040440804330103,11.157130034175665,3.8508474835458952,16.7091,0,0,2.1500000000000004,5.818181991577148,0.539922,0.1816702,0.4309792,NA,0.02840644385365236,0.07342701607798456,0.0034107165463982785,0,6.329915179136599e-4,0.8840424420812761,0,0.00981136852766173,1.58247879478415e-5,0.03142857142857143,5.714285714285715e-4,0.14857142857142858,0.8068,0.012571428571428572,0,0,0,5.714285714285714e-5,NA,0,0,0,1,0,0,NA,NA,9.28659536669797,8.88381211236617,1.83,1.36,1.8519108280254755,0.01652155236506022
Syria,SYR,1985-1994,3.792150396673054,3.23234418330391,-0.008296199924244461,3.102019857026624,53.37736384666667,12.645182095,48.7629534403483,12274.8016,2737.1361850000003,10486.2630936,-0.008296199924244461,83.93890523900001,9.3319172177,2.7286443237760767,66.503878841,66.351,1.9678114130084143,22.671986948232984,3.916425296045706,16.7091,0,0,3.615,5.818181991577148,0.539922,0.1816702,0.4309792,NA,0.02135676571097099,0.0702634626197748,0.0023607613046655153,9.001294729456487e-5,6.903878791560558e-5,0.8875113199407867,0,0.01811599266955012,2.5479233042820072e-5,0.03142857142857143,5.714285714285715e-4,0.14857142857142858,0.8068,0.012571428571428572,0,0,0,5.714285714285714e-5,NA,0,0,0,0,1,0,NA,NA,9.374638818044733,9.410859931108723,3.26,2.47,6.1951312116136315,0.01507136290334735
Syria,SYR,1995-2004,3.570287089851485,3.113133592012784,0.01982895046230645,2.6622387433121246,71.366797745,8.431355829,46.186711629231766,16275.3806,3458.9163894,11613.015234,0.01982895046230645,63.689925572,6.9536529127,2.577826051230648,68.826767881,69.817,1.6834315923424268,2.2868401617530814,3.8731317747327223,16.7091,0,0,4.53,5.818181991577148,0.539922,0.1816702,0.4309792,NA,0.02057346813956195,0.06991195667997371,0.0022440996111396526,1.0001438588284985e-4,6.377373471377305e-6,0.8878967508140656,0,0.019038728685315497,2.655194916448436e-5,0.03142857142857143,5.714285714285715e-4,0.14857142857142858,0.8068,0.012571428571428572,0,0,0,5.714285714285714e-5,NA,0,0,0,0,0,1,NA,NA,9.270216935243047,9.15859239002338,4.48,3.97,0.24327443022377904,0.01432315911597462
Tanzania,TZA,1975-1984,3.6876203063574513,3.160211569844148,-0.01110341976283947,3.5751015347764343,22.117424385,25.440297433333335,2.908186634381613,18470.1731,619.95118795,1292.3548178,-0.01110341976283947,53.581897944,23.183835261,3.3694325200169493,15.5827173189,46.45,1.9328249095066579,21.20264004530538,1.1950209528926872,10.2759,88.294,0,2.355,6.636363506317139,0.735296,0.8982635999999999,0.6334385,1,0.20609652147656604,6.608806807834696e-4,0.10674126198250106,0.0015420549218280958,7.343118675371885e-6,0.3092187274199101,2.7903850966413165e-4,0.0015420549218280958,0.3248102244409537,0.016421052631578947,0.003947368421052632,0,0.07,0,5.263157894736842e-4,2.6315789473684212e-5,0,0.9052368421052631,3.7809526920318604,1,0,0,1,0,0,0,0,7.2030304671282,7.11255627671758,2.18,1.79,5.602748153137725,0.02152852529601722
Tanzania,TZA,1985-1994,3.7660446588615115,3.1101520497253357,0.02148143725259117,3.049096135419761,11.287754558333333,17.89864057333333,3.26297163963318,24961.6518,677.51576344,1408.3535560999999,0.02148143725259117,66.946393332,21.967238492,2.895204530825305,19.4066153834,51.201,1.9323905989678005,29.84301305609805,NA,10.2759,88.294,0,3.38,6.636363506317139,0.735296,0.8982635999999999,0.6334385,1,0.2679214036645568,4.055756634917709e-4,0.23940258788652366,0.007941163040332596,6.610058711231065e-6,0.3261517760628877,0.0011747974059946248,0.0030182011903817033,0.142361510043455,0.016421052631578947,0.003947368421052632,0,0.07,0,5.263157894736842e-4,2.6315789473684212e-5,0,0.9052368421052631,3.7809526920318604,1,0,0,0,1,0,0,0,7.058823309467272,7.24000251713959,3.16,2.53,12.548551052020185,0.019530868537723872
Tanzania,TZA,1995-2004,3.5358420876800927,3.1868357582014815,0.023826801629950392,3.0850623823380094,25.264781043333333,25.659189678333334,NA,33284.789300000004,739.27001798,1505.1004627,0.023826801629950392,69.604783513,15.961592483,2.9156701479419276,35.09437322,51.485,1.8237425150811057,11.161451781383636,NA,10.2759,88.294,0,4.33,6.636363506317139,0.735296,0.8982635999999999,0.6334385,1,0.274790835018778,3.7720843934824883e-4,0.25414273520919284,0.008652175053499763,6.528607604104307e-6,0.32803322591210743,0.0012743261722535685,0.003182217442443215,0.12208943066595512,0.016421052631578947,0.003947368421052632,0,0.07,0,5.263157894736842e-4,2.6315789473684212e-5,0,0.9052368421052631,3.7747750282287598,1,0,0,0,0,1,0,0,7.2294516684513495,7.346291828319623,4.09,3.6,1.8176653989577556,0.01942313295134505
Thailand,THA,1975-1984,3.385891752977409,3.0616786682068593,0.03554614660332194,3.592867357632061,54.15264330666667,6.630972900333333,NA,46471.9491,2378.1225138,4757.3172063,0.03554614660332194,69.608344243,7.9896077322,3.5680997473986387,55.610069284,57.711,1.713797927758343,7.7119133887261775,NA,29.3876,99.546,0,2.3899999999999997,7.636363506317139,0.6338239999999999,0.634444,0.099422,NA,0.004297948397462117,0,9.704197573249327e-4,0.0016763649969624265,1.955759163122831e-6,0.0388916679295283,0.9228939155997162,0.0030733358277644485,0.026766799300665226,0.004966887417218543,8.443708609271524e-4,0,0.014900662251655629,0,9.933774834437086e-4,0.9484850993377484,0,0.029801324503311258,NA,0,0,0,1,0,0,NA,NA,8.261161788166007,8.125392581362123,2.11,1.87,1.0792636613427105,0.01732771915232798
