countrycode,period,country,region,year,pop,hc,rgdpna,rnna,rtfpna,rgdppw,gv,inv,opres,cpi,yinit,gy,gh,pc,gk,gtfp,gpop,kkz96,kgatrstr,lang
GBR,1970-1979,United Kingdom,Europe & Central Asia,1974.5,56.0268036,2.843814826011658,1162107.93125,4985772.25,0.8456567764282227,20737.887002058116,19.79384460905903,3.192736192876382,-16.525393070218524,12.641404658603111,9.828633985717937,0.2455832842415783,0.07544877184548257,11.395956141286872,0.329019102718081,0.06050641336971827,0.011365678501208017,1.7057568337479359,0,0.0532
GBR,1980-1989,United Kingdom,Europe & Central Asia,1984.5,56.466239699999996,3.0721234560012816,1432657.075,6432203.4,0.9050126254558564,25360.934493157565,20.41638627907818,3.1005210553028615,-16.93173706624167,7.157495573621164,10.027642756316409,0.30666893356550373,0.0678456060575798,11.642853129879072,0.256911319632009,0.09972796733869209,0.013612120342426011,1.7057568337479359,0,0.0532
GBR,1990-1999,United Kingdom,Europe & Central Asia,1994.5,57.8816026,3.3353546857833862,1846567.9625,8604257.6,0.9396656811237335,31882.78470831317,17.80124007040457,2.9413223233643717,-18.198350785577396,3.621831685693178,10.299628955975884,0.2152305912848252,0.08753243036276144,11.908793550075584,0.22668883647639695,0.058564456681709585,0.02767970345566472,1.7057568337479359,0,0.0532
GBR,2000-2009,United Kingdom,Europe & Central Asia,2004.5,60.434626099999996,3.595827317237854,2443526.475,11020733.9,1.0133109092712402,40407.224205257146,19.17245082923612,2.8653067617933323,-14.405848564994777,1.941710621793051,10.525497424467718,0.07663599081566408,0.049497248458301744,12.11283744018936,0.14546523936531544,-0.0022426364103903243,0.06627779509124311,1.7057568337479359,0,0.0532
GBR,2010-2019,United Kingdom,Europe & Central Asia,2014.5,65.59715109999999,3.738265299797058,2796996.775,13135163.9,0.9954385161399841,42609.79110358145,19.82224049067978,2.8301437468588295,-5.884689738226496,2.0629953287984972,10.609871095565895,0.10211043166869478,0.01902838509691471,12.206701618782082,0.09130029456144062,0.0015883558186501497,0.06414081807496169,1.7057568337479359,0,0.0532
GEO,1990-1999,Georgia,Europe & Central Asia,1994.5,4.995794699999999,NA,27141.2087890625,204187.5859375,NA,5353.56052439585,9.499068692495674,2.47377541712295,-4.6943030589296475,NA,9.321816857922595,-0.5505766354160506,NA,10.619649808804455,0.08786048886554246,NA,-0.1762812687197378,-0.7204157736174542,0,0.4749
GEO,2000-2009,Georgia,Europe & Central Asia,2004.5,4.2211386,NA,31787.2587890625,205170.8796875,NA,7556.314653923311,12.833633009515935,3.213199676336999,-8.349044823127484,5.917185982578529,8.561666653327721,0.8321320723756688,NA,10.792319702330444,0.1628861700735075,NA,-0.055635624974353474,-0.7204157736174542,0,0.4749
GEO,2010-2019,Georgia,Europe & Central Asia,2014.5,4.037629,NA,52613.15,234925.9609375,NA,13044.205076927887,14.67056382968316,3.100853746185451,10.245582786767232,3.6908172677778945,9.232729320368351,0.5538248477809103,NA,10.97193474462104,0.2556222074667131,NA,-0.0249649984057472,-0.7204157736174542,0,0.4749
GHA,1990-1999,Ghana,Sub-Saharan Africa,1994.5,16.7857472,1.9959775447845458,43224.517578125,147469.128125,NA,2566.6110967977397,11.67152802033586,2.961682265596883,-7.695692402674709,26.857406668421167,7.781379533567141,0.1526641213100926,0.1199202963735308,9.081479334209842,-0.03518732997082106,NA,0.27340460752208195,-0.18104945085189975,0.8288805,0.6731
GHA,2000-2009,Ghana,Sub-Saharan Africa,2004.5,21.6197195,2.177137589454651,68741.15546875,221142.375,NA,3161.0649342537736,10.229378409201871,3.0606073155905573,19.079066794791753,21.252111068258195,7.940155743714891,0.2842507770434757,0.05867438196463952,9.226553416571898,0.29533762681627507,NA,0.25375385344441603,-0.18104945085189975,0.8288805,0.6731
